#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      6.94e+01      2.10e-01      6.87e-01      3.30e-01    1.0e-03
   2000      1.91e+01      1.42e-01      1.88e-01      1.16e-01    9.9e-04
   4000      1.41e+01      1.75e-01      1.38e-01      9.08e-02    9.9e-04
   6000      1.61e+01      1.15e-01      1.61e-01      2.10e-02    9.8e-04
   8000      1.45e+01      1.89e-02      1.45e-01      4.19e-02    9.7e-04
  10000      8.10e+00      1.78e-03      7.73e-02      8.57e-02    9.7e-04
  12000      7.98e+00      4.47e-02      7.97e-02      3.36e-02    9.6e-04
  14000      9.07e-01      9.99e-03      1.83e-06      4.52e-02    9.5e-04
  16000      9.91e+00      1.12e-02      9.61e-02      8.45e-02    9.5e-04
  18000      9.68e+00      1.20e-02      9.61e-02      3.41e-02    9.4e-04
  20000      1.04e+01      1.40e-02      1.04e-01      4.15e-02    9.3e-04
  22000      4.50e+00      8.22e-02      4.47e-02      3.87e-02    9.3e-04
  24000      1.30e+01      1.14e-02      1.30e-01      5.33e-02    9.2e-04
  26000      4.35e+00      2.92e-02      4.31e-02      2.95e-02    9.1e-04
  28000      5.16e+00      3.88e-02      5.11e-02      5.70e-02    9.1e-04
  30000      9.26e+00      1.65e-02      9.16e-02      3.75e-02    9.0e-04
  32000      6.88e+00      1.75e-02      6.78e-02      5.64e-02    9.0e-04
  34000      8.64e+00      1.54e-02      8.59e-02      3.32e-02    8.9e-04
  36000      1.06e+01      1.31e-02      1.06e-01      2.69e-02    8.8e-04
  38000      1.06e+01      3.47e-02      1.06e-01      3.22e-02    8.8e-04
  40000      6.23e+00      5.62e-02      6.22e-02      2.37e-02    8.7e-04
  42000      1.02e+01      2.88e-02      1.02e-01      2.81e-02    8.7e-04
  44000      4.01e+00      9.64e-03      3.95e-02      3.30e-02    8.6e-04
  46000      9.18e+00      3.53e-03      9.17e-02      2.02e-02    8.5e-04
  48000      6.14e+00      5.79e-04      6.05e-02      3.62e-02    8.5e-04
  50000      2.94e+00      2.41e-02      2.85e-02      3.56e-02    8.4e-04
  52000      3.20e+00      1.85e-02      3.04e-02      4.87e-02    8.4e-04
  54000      7.86e+00      1.73e-02      7.82e-02      2.71e-02    8.3e-04
  56000      1.06e+01      2.68e-02      1.06e-01      1.69e-02    8.3e-04
  58000      3.75e+00      2.23e-02      3.66e-02      2.85e-02    8.2e-04
  60000      7.94e+00      4.56e-03      7.94e-02      3.62e-03    8.1e-04
  62000      8.19e+00      1.08e-02      8.16e-02      2.62e-02    8.1e-04
  64000      4.34e+00      2.09e-02      4.32e-02      1.14e-02    8.0e-04
  66000      4.01e+00      5.88e-03      4.00e-02      9.95e-03    8.0e-04
  68000      6.86e+00      1.32e-02      6.85e-02      1.87e-02    7.9e-04
  70000      6.56e+00      1.23e-03      6.54e-02      2.73e-02    7.9e-04
  72000      7.44e+00      1.92e-02      7.43e-02      4.55e-02    7.8e-04
  74000      4.38e+00      1.39e-03      4.29e-02      3.12e-02    7.8e-04
  76000      9.09e+00      1.48e-02      9.07e-02      2.46e-02    7.7e-04
  78000      8.62e+00      2.10e-02      8.61e-02      1.35e-02    7.7e-04
  80000      7.16e+00      8.36e-03      7.08e-02      2.92e-02    7.6e-04
  82000      6.86e+00      5.54e-03      6.85e-02      9.24e-03    7.6e-04
  84000      7.15e+00      1.67e-02      7.12e-02      3.45e-02    7.5e-04
  86000      7.54e+00      2.31e-02      7.50e-02      2.54e-02    7.5e-04
  88000      3.31e+00      3.87e-03      3.19e-02      4.45e-02    7.4e-04
  90000      7.02e+00      1.31e-02      7.01e-02      9.57e-03    7.4e-04
  92000      5.90e+00      4.17e-04      5.82e-02      2.90e-02    7.3e-04
  94000      6.71e+00      1.65e-02      6.67e-02      1.93e-02    7.3e-04
  96000      7.97e+00      1.42e-02      7.93e-02      2.19e-02    7.2e-04
  98000      6.78e+00      1.91e-02      6.76e-02      1.45e-02    7.2e-04
 100000      5.52e+00      5.64e-03      5.49e-02      2.89e-02    7.1e-04
 102000      7.06e+00      1.20e-02      7.04e-02      1.75e-02    7.1e-04
 104000      7.45e+00      1.91e-02      7.45e-02      8.87e-03    7.0e-04
 106000      9.61e+00      2.46e-02      9.59e-02      3.28e-02    7.0e-04
 108000      8.79e+00      7.16e-03      8.76e-02      2.26e-02    6.9e-04
 110000      7.28e+00      4.45e-03      7.25e-02      2.05e-02    6.9e-04
 112000      7.00e+00      2.39e-02      6.98e-02      2.01e-02    6.8e-04
 114000      1.18e+01      2.38e-02      1.18e-01      1.63e-02    6.8e-04
 116000      9.74e+00      8.12e-03      9.73e-02      1.36e-02    6.7e-04
 118000      5.26e+00      1.41e-02      5.24e-02      2.49e-02    6.7e-04
 120000      4.82e+00      1.73e-03      4.82e-02      8.54e-03    6.6e-04
 122000      8.75e+00      5.02e-03      8.74e-02      1.95e-02    6.6e-04
 124000      6.09e+00      2.75e-02      6.09e-02      9.60e-03    6.5e-04
 126000      8.19e+00      4.11e-03      8.19e-02      5.94e-03    6.5e-04
 128000      1.00e+01      3.96e-03      1.00e-01      1.55e-02    6.5e-04
 130000      9.12e+00      4.76e-02      9.09e-02      2.34e-02    6.4e-04
 132000      7.87e+00      3.75e-03      7.81e-02      3.64e-02    6.4e-04
 134000      1.07e+00      5.87e-03      1.04e-02      1.22e-02    6.3e-04
 136000      6.69e+00      3.66e-02      6.49e-02      4.49e-02    6.3e-04
 138000      2.83e+00      2.23e-02      2.83e-02      3.03e-03    6.2e-04
 140000      6.55e+00      2.25e-02      6.50e-02      2.56e-02    6.2e-04
 142000      5.31e+00      8.78e-03      5.31e-02      1.52e-02    6.2e-04
 144000      5.87e+00      1.59e-02      5.84e-02      2.02e-02    6.1e-04
 146000      7.91e+00      4.33e-03      7.90e-02      1.33e-02    6.1e-04
 148000      8.18e+00      5.58e-03      8.17e-02      1.10e-02    6.0e-04
 150000      6.43e+00      3.57e-02      6.41e-02      6.79e-03    6.0e-04
 152000      7.00e+00      8.93e-04      7.00e-02      1.14e-02    5.9e-04
 154000      2.21e+00      9.33e-03      2.19e-02      1.44e-02    5.9e-04
 156000      6.14e+00      1.41e-02      6.14e-02      1.33e-02    5.9e-04
 158000      7.96e+00      4.52e-03      7.94e-02      1.63e-02    5.8e-04
 160000      4.71e+00      5.60e-03      4.71e-02      8.30e-03    5.8e-04
 162000      6.59e+00      2.15e-02      6.56e-02      1.87e-02    5.7e-04
 164000      3.30e+00      1.69e-02      3.29e-02      7.16e-03    5.7e-04
 166000      5.45e+00      2.56e-03      5.42e-02      1.60e-02    5.7e-04
 168000      6.73e+00      1.14e-02      6.70e-02      1.79e-02    5.6e-04
 170000      5.17e+00      3.17e-03      5.17e-02      8.41e-03    5.6e-04
 172000      8.00e+00      1.61e-03      7.99e-02      1.50e-02    5.6e-04
 174000      2.10e+00      4.37e-03      2.08e-02      8.02e-03    5.5e-04
 176000      7.30e+00      2.39e-03      7.29e-02      1.34e-02    5.5e-04
 178000      6.97e+00      5.66e-03      6.97e-02      9.86e-03    5.4e-04
 180000      7.28e+00      1.49e-02      7.27e-02      5.90e-03    5.4e-04
 182000      1.41e+00      2.11e-03      1.28e-02      2.04e-02    5.4e-04
 184000      8.79e+00      1.41e-02      8.77e-02      1.51e-02    5.3e-04
 186000      5.54e+00      1.37e-02      5.53e-02      1.12e-02    5.3e-04
 188000      8.34e+00      2.40e-03      8.28e-02      3.57e-02    5.3e-04
 190000      7.14e+00      2.20e-03      7.14e-02      5.26e-03    5.2e-04
 192000      8.51e+00      1.67e-02      8.49e-02      1.96e-02    5.2e-04
 194000      5.82e+00      1.49e-02      5.81e-02      8.11e-03    5.2e-04
 196000      8.06e+00      1.11e-02      8.06e-02      6.52e-03    5.1e-04
 198000      7.36e+00      3.97e-03      7.36e-02      7.31e-03    5.1e-04
 200000      2.62e+00      6.36e-03      2.62e-02      6.16e-03    5.0e-04
 202000      5.45e+00      4.82e-02      5.37e-02      4.53e-02    5.0e-04
 204000      7.07e+00      3.43e-03      7.06e-02      1.03e-02    5.0e-04
 206000      3.51e+00      1.18e-02      3.44e-02      2.52e-02    4.9e-04
 208000      4.10e+00      1.11e-02      4.08e-02      9.16e-03    4.9e-04
 210000      6.00e+00      3.03e-03      6.00e-02      7.74e-03    4.9e-04
 212000      3.30e+00      2.01e-02      3.26e-02      2.55e-02    4.8e-04
 214000      6.35e+00      1.23e-03      6.33e-02      1.41e-02    4.8e-04
 216000      6.95e+00      5.41e-03      6.95e-02      8.78e-03    4.8e-04
 218000      6.58e+00      1.87e-02      6.57e-02      8.71e-03    4.7e-04
 220000      7.46e+00      3.15e-03      7.45e-02      1.90e-02    4.7e-04
 222000      5.30e+00      9.75e-03      5.30e-02      5.39e-03    4.7e-04
 224000      5.96e+00      1.94e-02      5.95e-02      2.23e-02    4.6e-04
 226000      8.61e+00      3.90e-03      8.59e-02      1.49e-02    4.6e-04
 228000      6.26e+00      8.81e-03      6.22e-02      2.48e-02    4.6e-04
 230000      5.28e+00      1.39e-03      5.27e-02      9.85e-03    4.6e-04
 232000      6.37e+00      2.29e-02      6.36e-02      1.18e-02    4.5e-04
 234000      6.57e+00      2.10e-02      6.56e-02      7.20e-03    4.5e-04
 236000      4.83e+00      6.44e-03      4.82e-02      8.23e-03    4.5e-04
 238000      5.94e+00      2.75e-03      5.92e-02      1.62e-02    4.4e-04
 240000      6.11e+00      1.91e-03      6.08e-02      1.63e-02    4.4e-04
 242000      5.52e+00      9.23e-03      5.50e-02      1.62e-02    4.4e-04
 244000      7.26e+00      2.85e-03      7.25e-02      1.10e-02    4.3e-04
 246000      6.88e+00      5.76e-03      6.86e-02      1.59e-02    4.3e-04
 248000      6.45e+00      1.97e-02      6.45e-02      8.93e-03    4.3e-04
 250000      6.39e+00      2.71e-03      6.38e-02      1.09e-02    4.3e-04
 252000      3.35e+00      1.50e-02      3.33e-02      7.61e-03    4.2e-04
 254000      6.67e+00      9.50e-03      6.67e-02      5.40e-03    4.2e-04
 256000      3.92e+00      9.15e-04      3.92e-02      8.21e-03    4.2e-04
 258000      6.76e+00      1.12e-02      6.75e-02      1.61e-02    4.1e-04
 260000      5.99e+00      7.27e-03      5.98e-02      7.95e-03    4.1e-04
 262000      5.72e+00      4.59e-03      5.71e-02      7.73e-03    4.1e-04
 264000      4.98e+00      2.44e-02      4.97e-02      7.68e-03    4.1e-04
 266000      7.14e+00      3.76e-03      7.13e-02      5.57e-03    4.0e-04
 268000      4.33e+00      6.86e-03      4.31e-02      1.97e-02    4.0e-04
 270000      7.18e+00      8.73e-03      7.16e-02      3.03e-02    4.0e-04
 272000      3.29e+00      1.06e-02      3.28e-02      1.76e-02    3.9e-04
 274000      4.42e+00      4.21e-03      4.41e-02      8.37e-03    3.9e-04
 276000      5.78e+00      1.33e-02      5.76e-02      1.17e-02    3.9e-04
 278000      5.53e+00      1.25e-02      5.52e-02      1.21e-02    3.9e-04
 280000      6.17e+00      1.40e-03      6.16e-02      8.88e-03    3.8e-04
 282000      6.13e+00      3.85e-03      6.12e-02      1.02e-02    3.8e-04
 284000      5.04e+00      8.25e-03      5.03e-02      1.21e-02    3.8e-04
 286000      6.15e+00      1.82e-03      6.14e-02      1.54e-02    3.8e-04
 288000      1.72e+00      4.91e-03      1.51e-02      4.09e-02    3.7e-04
 290000      5.71e+00      1.71e-03      5.70e-02      1.15e-02    3.7e-04
 292000      6.82e+00      3.96e-03      6.77e-02      2.32e-02    3.7e-04
 294000      7.07e+00      1.01e-02      7.07e-02      1.05e-02    3.7e-04
 296000      5.82e+00      6.32e-03      5.81e-02      1.15e-02    3.6e-04
 298000      2.77e+00      1.69e-02      2.74e-02      1.29e-02    3.6e-04
 300000      4.01e+00      3.99e-04      3.99e-02      2.19e-02    3.6e-04
 302000      6.13e+00      7.78e-03      6.13e-02      8.41e-03    3.6e-04
 304000      4.73e+00      5.59e-03      4.72e-02      9.07e-03    3.5e-04
 306000      7.02e+00      9.87e-03      7.00e-02      1.70e-02    3.5e-04
 308000      6.86e+00      1.47e-02      6.85e-02      1.16e-02    3.5e-04
 310000      5.64e+00      5.37e-03      5.61e-02      1.50e-02    3.5e-04
 312000      5.97e+00      1.02e-02      5.96e-02      1.13e-02    3.4e-04
 314000      4.74e+00      9.38e-03      4.73e-02      9.12e-03    3.4e-04
 316000      4.95e+00      4.74e-03      4.94e-02      1.83e-02    3.4e-04
 318000      6.59e+00      1.54e-02      6.57e-02      1.44e-02    3.4e-04
 320000      6.51e+00      7.42e-03      6.49e-02      1.96e-02    3.3e-04
 322000      5.40e+00      5.40e-03      5.39e-02      1.39e-02    3.3e-04
 324000      4.52e+00      1.01e-02      4.52e-02      2.27e-02    3.3e-04
 326000      6.78e+00      6.05e-03      6.78e-02      5.11e-03    3.3e-04
 328000      5.06e+00      1.24e-02      5.05e-02      1.35e-02    3.3e-04
 330000      8.19e+00      1.08e-03      8.13e-02      2.71e-02    3.2e-04
 332000      3.39e+00      2.94e-04      3.34e-02      3.02e-02    3.2e-04
 334000      5.70e+00      4.01e-03      5.67e-02      2.09e-02    3.2e-04
 336000      5.48e+00      9.76e-04      5.48e-02      8.25e-03    3.2e-04
 338000      6.48e+00      9.32e-04      6.47e-02      1.06e-02    3.1e-04
 340000      5.81e+00      1.81e-02      5.81e-02      5.88e-03    3.1e-04
 342000      7.13e+00      5.01e-03      7.11e-02      1.85e-02    3.1e-04
 344000      2.38e+00      1.05e-02      2.37e-02      5.42e-03    3.1e-04
 346000      5.74e+00      5.27e-03      5.72e-02      1.32e-02    3.1e-04
 348000      6.61e+00      4.05e-03      6.61e-02      6.28e-03    3.0e-04
 350000      5.69e+00      8.01e-03      5.68e-02      7.91e-03    3.0e-04
 352000      5.95e+00      1.69e-03      5.93e-02      1.44e-02    3.0e-04
 354000      5.16e+00      6.77e-04      5.15e-02      8.93e-03    3.0e-04
 356000      4.33e+00      2.97e-03      4.32e-02      8.48e-03    3.0e-04
