#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      7.96e+01      2.22e-01      7.92e-01      3.86e-01    1.0e-03
   2000      1.88e+01      7.53e-02      1.86e-01      1.43e-01    9.9e-04
   4000      8.75e+00      5.29e-02      8.69e-02      4.75e-02    9.9e-04
   6000      1.49e+01      2.53e-02      1.49e-01      1.01e-02    9.8e-04
   8000      1.77e+01      2.61e-01      1.77e-01      5.24e-02    9.7e-04
  10000      1.57e+01      5.85e-02      1.57e-01      7.22e-02    9.7e-04
  12000      1.37e+01      2.23e-03      1.37e-01      6.99e-02    9.6e-04
  14000      1.47e+01      1.03e-01      1.47e-01      7.72e-02    9.5e-04
  16000      1.26e+01      6.23e-02      1.22e-01      1.47e-01    9.5e-04
  18000      1.06e+01      1.05e-01      1.05e-01      6.33e-02    9.4e-04
  20000      1.72e+01      9.77e-02      1.72e-01      7.18e-02    9.3e-04
  22000      9.53e+00      9.83e-03      9.50e-02      5.28e-02    9.3e-04
  24000      1.50e+01      1.74e-01      1.44e-01      3.00e-01    9.2e-04
  26000      1.06e+01      8.40e-02      1.04e-01      1.50e-01    9.1e-04
  28000      1.21e+01      1.36e-01      1.20e-01      7.95e-02    9.1e-04
  30000      6.39e+00      4.61e-02      6.29e-02      7.86e-02    9.0e-04
  32000      1.09e+01      1.05e-01      1.09e-01      4.42e-02    9.0e-04
  34000      2.53e+01      5.12e-02      2.53e-01      4.28e-02    8.9e-04
  36000      9.64e+00      4.81e-03      9.62e-02      3.75e-02    8.8e-04
  38000      1.28e+01      3.63e-02      1.28e-01      2.94e-02    8.8e-04
  40000      8.90e+00      3.87e-02      8.86e-02      3.86e-02    8.7e-04
  42000      8.99e+00      5.64e-02      8.51e-02      1.44e-01    8.7e-04
  44000      9.31e+00      5.45e-02      9.30e-02      1.14e-02    8.6e-04
  46000      9.98e+00      5.20e-04      9.97e-02      2.85e-02    8.5e-04
  48000      1.26e+01      6.38e-03      1.25e-01      6.70e-02    8.5e-04
  50000      1.01e+01      1.65e-02      1.01e-01      3.75e-02    8.4e-04
  52000      1.05e+01      1.44e-02      1.05e-01      2.43e-02    8.4e-04
  54000      1.07e+01      7.26e-03      1.07e-01      3.69e-02    8.3e-04
  56000      1.06e+01      8.35e-03      1.05e-01      3.88e-02    8.3e-04
  58000      9.50e+00      3.76e-03      9.50e-02      1.80e-02    8.2e-04
  60000      9.45e+00      5.34e-02      9.44e-02      1.18e-02    8.1e-04
  62000      7.97e+00      1.33e-02      7.97e-02      2.07e-02    8.1e-04
  64000      8.27e+00      3.43e-03      8.25e-02      4.28e-02    8.0e-04
  66000      9.46e+00      8.01e-02      9.44e-02      1.38e-02    8.0e-04
  68000      8.26e+00      1.93e-02      8.25e-02      1.48e-02    7.9e-04
  70000      1.16e+01      2.98e-02      1.16e-01      4.66e-02    7.9e-04
  72000      8.14e+00      1.10e-02      8.11e-02      2.99e-02    7.8e-04
  74000      5.33e+00      1.92e-02      5.29e-02      3.23e-02    7.8e-04
  76000      1.49e+01      2.90e-02      1.48e-01      7.67e-02    7.7e-04
  78000      8.26e+00      1.77e-02      8.26e-02      8.89e-03    7.7e-04
  80000      1.02e+01      3.06e-02      1.02e-01      5.88e-02    7.6e-04
