#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      2.20e+01      3.56e-02      2.18e-01      1.15e-01    1.0e-03
   2000      2.09e+01      1.53e-01      2.09e-01      6.19e-02    9.9e-04
   4000      2.44e+01      3.58e-02      2.38e-01      2.59e-01    9.9e-04
   6000      1.75e+01      5.93e-02      1.75e-01      4.85e-02    9.8e-04
   8000      1.94e+01      9.58e-02      1.94e-01      5.38e-02    9.7e-04
  10000      1.61e+01      4.00e-02      1.59e-01      1.10e-01    9.7e-04
  12000      7.19e+00      6.59e-02      7.08e-02      5.65e-02    9.6e-04
  14000      2.41e+01      6.16e-03      2.39e-01      1.61e-01    9.5e-04
  16000      1.41e+01      6.62e-02      1.40e-01      7.96e-02    9.5e-04
  18000      1.95e+01      7.95e-02      1.95e-01      1.13e-01    9.4e-04
  20000      1.46e+01      1.06e-02      1.46e-01      4.57e-02    9.3e-04
  22000      7.25e+00      2.56e-02      6.99e-02      9.55e-02    9.3e-04
  24000      1.37e+01      4.73e-02      1.36e-01      1.01e-01    9.2e-04
  26000      2.63e+01      2.45e-02      2.62e-01      5.77e-02    9.1e-04
  28000      1.58e+01      1.08e-01      1.58e-01      2.74e-02    9.1e-04
  30000      2.32e+01      5.57e-02      2.32e-01      2.62e-02    9.0e-04
  32000      1.42e+01      2.80e-03      1.42e-01      2.85e-02    9.0e-04
  34000      1.73e+01      9.66e-02      1.72e-01      1.04e-01    8.9e-04
  36000      2.36e+01      4.78e-02      2.36e-01      5.96e-02    8.8e-04
  38000      1.29e+01      5.68e-02      1.28e-01      7.38e-02    8.8e-04
  40000      9.76e+00      1.26e-02      9.74e-02      2.92e-02    8.7e-04
  42000      9.49e+00      4.65e-02      9.38e-02      7.01e-02    8.7e-04
  44000      1.61e+01      1.09e-01      1.61e-01      3.99e-02    8.6e-04
  46000      1.87e+01      6.71e-02      1.87e-01      4.35e-02    8.5e-04
  48000      1.46e+01      1.37e-01      1.46e-01      4.08e-02    8.5e-04
  50000      1.20e+01      7.38e-02      1.20e-01      4.58e-02    8.4e-04
  52000      1.80e+01      4.43e-03      1.80e-01      3.52e-02    8.4e-04
  54000      9.71e+00      2.72e-02      9.69e-02      2.93e-02    8.3e-04
  56000      1.47e+01      3.15e-02      1.47e-01      1.77e-02    8.3e-04
  58000      1.43e+01      3.82e-03      1.43e-01      2.58e-02    8.2e-04
  60000      1.36e+01      5.97e-02      1.35e-01      6.85e-02    8.1e-04
  62000      1.37e+01      6.04e-02      1.37e-01      8.45e-02    8.1e-04
  64000      1.83e+01      4.86e-02      1.82e-01      4.73e-02    8.0e-04
  66000      1.99e+01      1.80e-03      1.99e-01      2.82e-02    8.0e-04
  68000      3.11e+01      1.07e-01      3.11e-01      1.11e-01    7.9e-04
  70000      1.29e+01      2.78e-02      1.29e-01      1.38e-02    7.9e-04
  72000      1.57e+01      5.50e-02      1.56e-01      9.70e-02    7.8e-04
  74000      1.69e+00      4.02e-04      1.62e-02      2.25e-02    7.8e-04
  76000      1.16e+01      8.04e-02      1.16e-01      5.49e-02    7.7e-04
  78000      1.66e+01      1.86e-02      1.66e-01      1.66e-02    7.7e-04
  80000      1.20e+01      6.99e-03      1.20e-01      1.64e-02    7.6e-04
  82000      1.23e+01      2.61e-02      1.23e-01      1.24e-02    7.6e-04
  84000      1.63e+01      1.91e-02      1.63e-01      2.29e-02    7.5e-04
  86000      1.40e+01      5.33e-02      1.39e-01      9.84e-02    7.5e-04
  88000      1.39e+01      1.10e-01      1.38e-01      5.79e-02    7.4e-04
  90000      1.29e+01      6.00e-02      1.29e-01      7.10e-02    7.4e-04
  92000      2.11e+01      2.71e-02      2.10e-01      4.18e-02    7.3e-04
  94000      1.44e+01      2.46e-03      1.43e-01      4.53e-02    7.3e-04
  96000      1.25e+01      2.88e-02      1.24e-01      6.53e-02    7.2e-04
  98000      1.79e+01      3.41e-03      1.79e-01      2.44e-02    7.2e-04
 100000      1.19e+01      5.13e-02      1.19e-01      7.11e-02    7.1e-04
 102000      1.67e+01      2.94e-02      1.67e-01      4.34e-02    7.1e-04
 104000      1.84e+01      6.76e-02      1.83e-01      2.47e-02    7.0e-04
 106000      1.43e+01      9.64e-03      1.43e-01      5.22e-02    7.0e-04
 108000      1.91e+01      7.12e-03      1.91e-01      1.41e-02    6.9e-04
 110000      1.49e+01      3.97e-02      1.48e-01      5.61e-02    6.9e-04
 112000      2.07e+01      3.49e-03      2.07e-01      2.20e-02    6.8e-04
 114000      2.10e+01      1.65e-02      2.10e-01      2.33e-02    6.8e-04
 116000      1.25e+01      2.12e-02      1.25e-01      4.50e-02    6.7e-04
 118000      2.37e+01      1.13e-02      2.37e-01      2.90e-02    6.7e-04
 120000      1.61e+01      1.64e-02      1.61e-01      2.78e-02    6.6e-04
 122000      8.80e+00      6.82e-03      8.75e-02      4.88e-02    6.6e-04
 124000      1.09e+01      1.05e-02      1.09e-01      3.52e-02    6.5e-04
 126000      1.61e+01      1.02e-02      1.61e-01      3.70e-02    6.5e-04
 128000      1.66e+01      1.71e-02      1.66e-01      4.23e-02    6.5e-04
 130000      1.17e+01      9.56e-03      1.16e-01      3.38e-02    6.4e-04
 132000      1.68e+01      3.81e-03      1.68e-01      6.17e-02    6.4e-04
 134000      1.58e+01      2.92e-02      1.57e-01      3.74e-02    6.3e-04
 136000      1.15e+01      3.43e-02      1.15e-01      2.10e-02    6.3e-04
 138000      1.09e+01      2.70e-02      1.09e-01      3.77e-02    6.2e-04
 140000      2.02e+01      3.51e-02      2.01e-01      4.84e-02    6.2e-04
 142000      5.39e+00      9.37e-03      5.29e-02      5.87e-02    6.2e-04
 144000      1.61e+01      2.40e-03      1.61e-01      1.62e-02    6.1e-04
 146000      1.42e+01      2.88e-04      1.42e-01      2.44e-02    6.1e-04
 148000      1.80e+01      4.62e-04      1.80e-01      5.65e-02    6.0e-04
 150000      1.09e+01      1.39e-02      1.07e-01      1.04e-01    6.0e-04
 152000      1.44e+01      2.94e-02      1.43e-01      2.38e-02    5.9e-04
 154000      1.10e+01      6.37e-02      1.10e-01      2.84e-02    5.9e-04
 156000      1.28e+01      4.26e-02      1.28e-01      1.68e-02    5.9e-04
 158000      1.30e+01      5.08e-02      1.30e-01      2.03e-02    5.8e-04
 160000      1.40e+01      1.27e-02      1.40e-01      1.77e-02    5.8e-04
 162000      2.93e+00      7.38e-03      2.89e-02      2.24e-02    5.7e-04
 164000      1.13e+01      1.23e-02      1.13e-01      3.16e-02    5.7e-04
 166000      1.05e+01      7.28e-03      1.05e-01      3.60e-02    5.7e-04
 168000      1.49e+01      2.21e-02      1.48e-01      5.11e-02    5.6e-04
 170000      1.00e+01      4.14e-02      9.98e-02      2.75e-02    5.6e-04
 172000      1.44e+01      1.87e-02      1.44e-01      3.78e-02    5.6e-04
 174000      5.68e+00      9.30e-03      5.66e-02      2.61e-02    5.5e-04
 176000      1.42e+01      9.54e-04      1.42e-01      2.94e-02    5.5e-04
 178000      1.18e+01      4.30e-02      1.18e-01      2.91e-02    5.4e-04
 180000      8.80e+00      1.71e-02      8.77e-02      3.52e-02    5.4e-04
 182000      7.51e+00      1.09e-02      7.49e-02      2.65e-02    5.4e-04
 184000      8.09e+00      2.37e-02      8.08e-02      2.33e-02    5.3e-04
 186000      1.53e+01      3.21e-03      1.53e-01      3.15e-02    5.3e-04
 188000      1.11e+01      1.13e-02      1.11e-01      6.99e-02    5.3e-04
 190000      1.38e+01      1.30e-02      1.38e-01      3.64e-02    5.2e-04
 192000      1.31e+01      2.14e-03      1.31e-01      1.53e-02    5.2e-04
 194000      2.00e+01      1.53e-02      2.00e-01      7.67e-02    5.2e-04
 196000      1.33e+01      1.53e-02      1.32e-01      3.36e-02    5.1e-04
 198000      4.84e+00      2.37e-02      4.46e-02      9.36e-02    5.1e-04
 200000      1.72e+01      4.21e-03      1.71e-01      7.77e-02    5.0e-04
 202000      1.21e+01      4.00e-02      1.21e-01      4.39e-02    5.0e-04
 204000      1.27e+01      2.27e-02      1.27e-01      2.62e-02    5.0e-04
 206000      1.25e+01      1.50e-02      1.25e-01      9.80e-03    4.9e-04
 208000      2.03e+01      4.11e-02      2.03e-01      1.97e-02    4.9e-04
 210000      1.16e+01      2.49e-03      1.16e-01      8.96e-03    4.9e-04
 212000      9.71e+00      2.56e-02      9.68e-02      3.65e-02    4.8e-04
 214000      1.12e+01      2.20e-02      1.12e-01      1.48e-02    4.8e-04
 216000      1.17e+01      2.21e-02      1.17e-01      2.69e-02    4.8e-04
 218000      5.44e+00      1.97e-03      5.36e-02      5.33e-02    4.7e-04
 220000      1.85e+01      2.70e-02      1.84e-01      4.53e-02    4.7e-04
 222000      1.72e+01      1.34e-03      1.71e-01      5.56e-02    4.7e-04
 224000      1.42e+01      3.44e-02      1.42e-01      3.20e-02    4.6e-04
 226000      1.07e+01      8.42e-03      1.06e-01      4.04e-02    4.6e-04
 228000      1.29e+01      3.10e-02      1.28e-01      8.80e-02    4.6e-04
 230000      1.23e+01      4.40e-04      1.23e-01      3.94e-02    4.6e-04
 232000      1.62e+01      7.82e-03      1.62e-01      3.22e-02    4.5e-04
 234000      1.14e+01      1.23e-02      1.14e-01      4.18e-02    4.5e-04
 236000      1.21e+01      1.08e-02      1.20e-01      5.70e-02    4.5e-04
 238000      1.23e+01      4.99e-03      1.23e-01      9.04e-02    4.4e-04
 240000      1.49e+01      7.56e-03      1.49e-01      1.01e-02    4.4e-04
 242000      1.71e+01      3.56e-02      1.71e-01      2.29e-02    4.4e-04
 244000      1.30e+01      6.46e-03      1.30e-01      4.82e-02    4.3e-04
 246000      1.29e+01      2.18e-02      1.29e-01      4.93e-02    4.3e-04
 248000      5.77e+00      5.20e-02      5.66e-02      5.13e-02    4.3e-04
