#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.18e+02      2.01e-01      1.18e+00      1.28e-01    1.0e-03
   2000      2.60e+01      2.51e-01      2.57e-01      2.96e-01    9.9e-04
   4000      1.86e+01      3.04e-02      1.86e-01      5.12e-02    9.9e-04
   6000      1.49e+01      1.17e-01      1.45e-01      1.82e-01    9.8e-04
   8000      1.94e+01      4.41e-02      1.93e-01      8.63e-02    9.7e-04
  10000      1.29e+01      1.97e-01      1.26e-01      1.51e-01    9.7e-04
  12000      1.91e+01      1.92e-01      1.90e-01      7.34e-02    9.6e-04
  14000      1.71e+01      8.87e-03      1.70e-01      1.33e-01    9.5e-04
  16000      8.67e+00      7.71e-02      8.64e-02      3.02e-02    9.5e-04
  18000      1.89e+01      1.09e-01      1.85e-01      2.26e-01    9.4e-04
  20000      1.56e+01      3.94e-02      1.56e-01      7.69e-02    9.3e-04
  22000      6.53e+00      5.02e-03      6.51e-02      2.63e-02    9.3e-04
  24000      1.57e+01      7.06e-02      1.56e-01      1.01e-01    9.2e-04
  26000      1.50e+01      6.44e-02      1.49e-01      1.17e-01    9.1e-04
  28000      1.48e+01      7.02e-02      1.48e-01      5.67e-02    9.1e-04
  30000      1.12e+01      7.21e-02      1.12e-01      5.53e-02    9.0e-04
  32000      1.09e+01      4.18e-02      1.09e-01      6.24e-02    9.0e-04
  34000      1.25e+01      1.16e-02      1.24e-01      7.36e-02    8.9e-04
  36000      1.22e+01      3.66e-02      1.22e-01      6.43e-02    8.8e-04
  38000      1.02e+01      4.16e-02      1.02e-01      7.03e-03    8.8e-04
  40000      1.01e+01      5.86e-02      1.01e-01      2.72e-02    8.7e-04
  42000      1.58e+01      3.71e-02      1.58e-01      1.65e-02    8.7e-04
  44000      9.32e+00      3.12e-02      9.32e-02      1.40e-02    8.6e-04
  46000      8.57e+00      2.75e-03      8.56e-02      2.42e-02    8.5e-04
  48000      1.11e+01      9.94e-03      1.11e-01      1.43e-02    8.5e-04
  50000      1.07e+01      2.64e-02      1.07e-01      1.46e-02    8.4e-04
  52000      1.02e+01      4.36e-02      1.02e-01      6.55e-02    8.4e-04
  54000      1.34e+01      7.25e-02      1.34e-01      4.20e-02    8.3e-04
  56000      1.10e+01      4.55e-02      1.10e-01      4.55e-02    8.3e-04
  58000      1.06e+01      7.99e-02      1.06e-01      2.84e-02    8.2e-04
  60000      1.17e+01      1.54e-02      1.17e-01      3.43e-02    8.1e-04
  62000      1.44e+01      1.84e-02      1.44e-01      4.71e-02    8.1e-04
  64000      1.10e+01      1.59e-02      1.09e-01      7.58e-02    8.0e-04
  66000      1.66e+01      8.73e-02      1.65e-01      5.75e-02    8.0e-04
  68000      1.17e+01      2.56e-02      1.17e-01      2.84e-02    7.9e-04
  70000      8.33e+00      4.85e-03      8.29e-02      4.78e-02    7.9e-04
  72000      1.02e+01      8.48e-03      1.01e-01      7.30e-02    7.8e-04
  74000      1.29e+01      1.22e-02      1.28e-01      5.49e-02    7.8e-04
  76000      9.54e+00      1.36e-03      9.49e-02      4.86e-02    7.7e-04
  78000      1.05e+01      4.37e-03      1.04e-01      8.49e-02    7.7e-04
  80000      5.72e+00      2.31e-02      5.71e-02      1.31e-02    7.6e-04
  82000      7.75e+00      2.78e-02      7.57e-02      8.40e-02    7.6e-04
  84000      6.33e+00      3.75e-03      6.30e-02      3.82e-02    7.5e-04
  86000      9.27e+00      6.53e-04      9.26e-02      2.85e-02    7.5e-04
  88000      7.75e+00      4.24e-04      7.73e-02      3.28e-02    7.4e-04
  90000      7.53e+00      2.21e-02      7.42e-02      6.25e-02    7.4e-04
  92000      6.85e+00      6.38e-02      6.83e-02      1.99e-02    7.3e-04
  94000      8.84e+00      1.93e-03      8.81e-02      4.64e-02    7.3e-04
  96000      1.34e+01      3.45e-02      1.34e-01      3.13e-02    7.2e-04
  98000      9.57e+00      3.19e-03      9.52e-02      7.09e-02    7.2e-04
 100000      9.87e+00      2.98e-03      9.86e-02      2.96e-02    7.1e-04
 102000      1.65e+00      1.29e-02      1.45e-02      3.94e-02    7.1e-04
 104000      7.19e+00      1.28e-02      7.13e-02      5.05e-02    7.0e-04
 106000      6.66e+00      2.35e-02      6.66e-02      1.61e-02    7.0e-04
 108000      1.28e+01      5.06e-02      1.28e-01      2.21e-02    6.9e-04
 110000      6.71e+00      2.17e-02      6.70e-02      2.77e-02    6.9e-04
 112000      8.76e+00      1.12e-02      8.71e-02      4.74e-02    6.8e-04
 114000      1.20e+01      1.21e-02      1.20e-01      1.65e-02    6.8e-04
 116000      6.23e+00      2.03e-02      6.22e-02      1.61e-02    6.7e-04
 118000      2.60e+00      3.62e-02      2.57e-02      1.50e-02    6.7e-04
 120000      8.88e+00      3.06e-02      8.86e-02      3.13e-02    6.6e-04
 122000      8.16e+00      5.93e-03      8.14e-02      2.64e-02    6.6e-04
